Report Date,ID,Weights,Position,MKT_val,Name,GICS Sector
2021-10-06,IOVA US Equity,0.7148896223497446,5452020.0,141752520.0,Iovance Biotherapeutics Inc,Health Care
2021-10-06,ROKU US Equity,5.771983735737586,3557782.0,1144502891.58,Roku Inc,Communication Services
2021-10-06,HOOD US Equity,1.209467846309768,5701864.0,239820399.84,Robinhood Markets Inc,Financials
2021-10-06,SGFY US Equity,0.8229555354550715,9324598.0,163180465.0,Signify Health Inc,Health Care
2021-10-06,PD US Equity,1.421540350152596,6992592.0,281871383.52,PagerDuty Inc,Information Technology
2021-10-06,U US Equity,5.169718062125471,7862265.0,1025082110.7,Unity Software Inc,Information Technology
2021-10-06,ZM US Equity,4.428107920289392,3461586.0,878031288.9,Zoom Video Communications Inc,Information Technology
2021-10-06,EDIT US Equity,0.7696556493450252,4065313.0,152611850.02,Editas Medicine Inc,Health Care
2021-10-06,TWST US Equity,0.7640594611377254,1569158.0,151502204.9,Twist Bioscience Corp,Health Care
2021-10-06,MTLS US Equity,0.3057436685317722,3146064.0,60624653.28,Materialise NV,Information Technology
2021-10-06,TXG US Equity,1.574105005515551,2147831.0,312122800.92,10X Genomics Inc,Health Care
2021-10-07,PACB US Equity,1.176416534916414,9796603.0,233844913.61,Pacific Biosciences of Califor,Health Care
2021-10-07,CRSP US Equity,2.565821550942208,5000756.0,510027104.44,CRISPR Therapeutics AG,Health Care
2021-10-07,TSP US Equity,1.324817448837424,7218850.0,263343648.0,TuSimple Holdings Inc,Industrials
2021-10-07,FATE US Equity,1.794686818614602,6245501.0,356743017.12,Fate Therapeutics Inc,Health Care
2021-10-07,BLI US Equity,0.4436691855395607,4759383.0,88191366.99,Berkeley Lights Inc,Health Care
2021-10-07,NTLA US Equity,2.686339165380122,4117382.0,533983271.58,Intellia Therapeutics Inc,Health Care
2021-10-07,TSLA US Equity,9.740415624151138,2473553.0,1936173610.75,Tesla Inc,Consumer Discretionary
2021-10-07,PLTR US Equity,2.883625819110185,24308710.0,573199381.8,Palantir Technologies Inc,Information Technology
2021-10-07,SE US Equity,0.1393333689636167,87830.0,27696312.2,Sea Ltd,Communication Services
2021-10-07,SSYS US Equity,0.4337005029196734,3696819.0,86209819.08,Stratasys Ltd,Information Technology
2021-10-07,DOCU US Equity,1.720084977385348,1289657.0,341913863.84,DocuSign Inc,Information Technology
2021-10-07,NVTA US Equity,2.100331851472387,15996104.0,417498314.4,Invitae Corp,Health Care
2021-10-07,SQ US Equity,4.031314865232061,3351179.0,801333922.48,Block Inc,Information Technology
2021-10-07,EXAS US Equity,3.143264528383872,6804723.0,624809665.86,Exact Sciences Corp,Health Care
2021-10-07,DNA US Equity,1.080734303568831,20285690.0,214825457.1,Ginkgo Bioworks Holdings Inc,Health Care
2021-10-07,USD Curncy,-0.2105196918831672,-41846537.94,0.0,US DOLLAR,
2021-10-07,DKNG US Equity,2.739468022586776,11115413.0,544544082.87,DraftKings Inc,Consumer Discretionary
2021-10-07,COIN US Equity,5.617536115852777,4459776.0,1116638714.88,Coinbase Global Inc,Financials
2021-10-07,IRDM US Equity,1.415949856100578,7497568.0,281458702.72,Iridium Communications Inc,Communication Services
2021-10-07,CGEN US Equity,0.1724842870338971,5485754.0,34285962.5,Compugen Ltd,Health Care
2021-10-07,PRLB US Equity,0.4672426994020267,1383131.0,92877246.65,Proto Labs Inc,Industrials
2021-10-07,TER US Equity,0.0,16583.0,0.0,Teradyne Inc,Information Technology
2021-10-07,SKLZ US Equity,0.4703528420621349,10973647.0,93495472.44,Skillz Inc,Communication Services
2021-10-07,TDOC US Equity,5.807472198665062,9139369.0,1154393698.39,Teladoc Health Inc,Health Care
2021-10-07,DGCXX US Equity,0.4482599153492068,89103899.91,89103899.91,Dreyfus Government Cash Manage,
2021-10-07,NTDOY US Equity,0.0004237294499588186,1510.0,84227.8,Nintendo Co Ltd,Communication Services
